"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"156",156,156,156,"leaf4","(717A + 141) - 733B",27.40708044,5.861009368,31.08262166,5.911578726,48.90258216,4.676170728,0.000105927,"***"
"157",157,157,157,"leaf4","(717A + 141) - (733B + 141)",-4.35,5.840783337,30.67571468,-25.80098129,17.10098129,-0.744763116,0.668804307,"ns"
"158",158,158,158,"leaf4","(717A + 141) - ExCtrl",29.6,7.153469437,30.67571468,3.328020678,55.87197932,4.137852305,0.000463031,"***"
"159",159,159,159,"leaf4","(717A + 141) - InCtrl",27.55439792,5.861009368,31.08262166,6.058896203,49.04989964,4.7013059,0.000102241,"***"
"160",160,160,160,"leaf4","733B - (733B + 141)",-31.75708044,5.861009368,31.08262166,-53.25258216,-10.26157873,-5.418363707,1.6e-05,"****"
"161",161,161,161,"leaf4","733B - ExCtrl",2.192919556,7.169993431,30.94676988,-24.11537669,28.5012158,0.305846801,0.90962372,"ns"
"162",162,162,162,"leaf4","733B - InCtrl",0.147317477,5.881165839,31.49146324,-21.39294837,21.68758332,0.025049026,0.983406311,"ns"
"163",163,163,163,"leaf4","(733B + 141) - ExCtrl",33.95,7.153469437,30.67571468,7.678020678,60.22197932,4.745948843,9.61e-05,"****"
"164",164,164,164,"leaf4","(733B + 141) - InCtrl",31.90439792,5.861009368,31.08262166,10.4088962,53.39989964,5.443498879,1.56e-05,"****"
"165",165,165,165,"leaf4","ExCtrl - InCtrl",-2.045602079,7.169993431,30.94676988,-28.35389832,24.26269416,-0.285300412,0.90962372,"ns"
"166",166,166,166,"shoot_mass","141 - 522",216.576108,30.31548073,30.99853174,105.361338,327.7908779,7.144076319,5.48e-07,"****"
"167",167,167,167,"shoot_mass","141 - (522 + 141)",38.27910797,30.31548073,30.99853174,-72.93566196,149.4938779,1.262691768,0.321254102,"ns"
"168",168,168,168,"shoot_mass","141 - 702A",227.714108,30.31548073,30.99853174,116.499338,338.9288779,7.511479366,5.48e-07,"****"
"169",169,169,169,"shoot_mass","141 - (702A + 141)",14.73760797,30.31548073,30.99853174,-96.47716196,125.9523779,0.486141325,0.888865001,"ns"
"170",170,170,170,"shoot_mass","141 - 717A",219.4475058,30.43409685,31.45957846,107.9684445,330.9265671,7.210580518,5.48e-07,"****"
"171",171,171,171,"shoot_mass","141 - (717A + 141)",97.09573697,30.43409685,31.45957846,-14.3833243,208.5747982,3.190360386,0.005699648,"ns"
"172",172,172,172,"shoot_mass","141 - 733B",218.630262,30.43409685,31.45957846,107.1512007,330.1093232,7.183727616,5.48e-07,"****"
"173",173,173,173,"shoot_mass","141 - (733B + 141)",87.07910797,30.31548073,30.99853174,-24.13566196,198.2938779,2.872430384,0.012524607,"*"
"174",174,174,174,"shoot_mass","141 - ExCtrl",220.481108,37.08017824,30.84538605,84.37885319,356.5833627,5.946063866,5.35e-06,"****"
"175",175,175,175,"shoot_mass","141 - InCtrl",218.6282045,30.43409685,31.45957846,107.1491432,330.1072657,7.18366001,5.48e-07,"****"
"176",176,176,176,"shoot_mass","522 - (522 + 141)",-178.297,30.19639868,30.53990719,-289.2490856,-67.34491435,-5.904578288,5.85e-06,"****"
"177",177,177,177,"shoot_mass","522 - 702A",11.138,30.19639868,30.53990719,-99.81408565,122.0900856,0.368851932,0.98034165,"ns"
"178",178,178,178,"shoot_mass","522 - (702A + 141)",-201.8385,30.19639868,30.53990719,-312.7905856,-90.88641435,-6.684191124,1.05e-06,"****"
"179",179,179,179,"shoot_mass","522 - 717A",2.871397843,30.31548073,30.99853174,-108.3433721,114.0861678,0.094717213,0.996871617,"ns"
"180",180,180,180,"shoot_mass","522 - (717A + 141)",-119.480371,30.31548073,30.99853174,-230.6951409,-8.265601069,-3.941232932,0.000844719,"***"
"181",181,181,181,"shoot_mass","522 - 733B",2.054154012,30.31548073,30.99853174,-109.1606159,113.2689239,0.067759243,0.996871617,"ns"
"182",182,182,182,"shoot_mass","522 - (733B + 141)",-129.497,30.19639868,30.53990719,-240.4490856,-18.54491435,-4.288491531,0.000382462,"***"
"183",183,183,183,"shoot_mass","522 - ExCtrl",3.905,36.98288441,30.53990719,-131.9829979,139.7929979,0.105589384,0.996871617,"ns"
"184",184,184,184,"shoot_mass","522 - InCtrl",2.052096498,30.31548073,30.99853174,-109.1626734,113.2668664,0.067691372,0.996871617,"ns"
"185",185,185,185,"shoot_mass","(522 + 141) - 702A",189.435,30.19639868,30.53990719,78.48291435,300.3870856,6.273430221,3.01e-06,"****"
"186",186,186,186,"shoot_mass","(522 + 141) - (702A + 141)",-23.5415,30.19639868,30.53990719,-134.4935856,87.41058565,-0.779612836,0.639185322,"ns"
